Seed1,Team1,Team1_id,Seed2,Team2,Team2_id,Winner,Winner_id,Year
7,South Carolina,2579,4,Florida,57,1,2579,2017
11,Xavier,2752,1,Gonzaga,2250,0,2250,2017
3,Oregon,2483,1,Kansas,2305,1,2483,2017
2,Kentucky,96,1,North Carolina,153,0,153,2017
7,South Carolina,2579,1,Gonzaga,2250,0,2250,2017
3,Oregon,2483,1,North Carolina,153,0,153,2017
1,Gonzaga,2250,1,North Carolina,153,0,153,2017
16,UMBC,2378,1,Virginia,258,1,2378,2018
9,Kansas St,2306,8,Creighton,156,1,2306,2018
12,Davidson,2166,5,Kentucky,96,0,96,2018
13,Buffalo,2084,4,Arizona,12,1,2084,2018
11,Loyola Chicago,2350,6,Miami,2390,1,2350,2018
14,Wright St,2750,3,Tennessee,2633,0,2633,2018
10,Texas,251,7,Nevada,2440,0,2440,2018
15,Georgia St,2247,2,Cincinnati,2132,0,2132,2018
16,Texas Southern,2640,1,Xavier,2752,0,2752,2018
9,Florida St,52,8,Missouri,142,1,52,2018
12,S Dakota St,2571,5,Ohio State,194,0,194,2018
13,UNC Greensboro,2430,4,Gonzaga,2250,0,2250,2018
11,San Diego St,21,6,Houston,248,0,248,2018
14,Montana,149,3,Michigan,130,0,130,2018
10,Providence,2507,7,Texas A&M,245,0,245,2018
15,Lipscomb,288,2,North Carolina,153,0,153,2018
16,Radford,2515,1,Villanova,222,0,222,2018
9,Alabama,333,8,Virginia Tech,259,1,333,2018
12,Murray St,93,5,West Virginia,277,0,277,2018
13,Marshall,276,4,Wichita St,2724,1,276,2018
11,St Bonaventure,179,6,Florida,57,0,57,2018
14,SF Austin,2617,3,Texas Tech,2641,0,2641,2018
10,Butler,2086,7,Arkansas,8,1,2086,2018
15,Fullerton,2239,2,Purdue,2509,0,2509,2018
16,Penn,219,1,Kansas,2305,0,2305,2018
9,NC State,152,8,Seton Hall,2550,0,2550,2018
12,New Mexico St,166,5,Clemson,228,0,228,2018
13,Charleston,232,4,Auburn,2,0,2,2018
11,Syracuse,183,6,TCU,2628,1,183,2018
14,Bucknell,2083,3,Michigan St,127,0,127,2018
10,Oklahoma,201,7,Rhode Island,227,0,227,2018
15,Iona,314,2,Duke,150,0,150,2018
16,UMBC,2378,9,Kansas St,2306,0,2306,2018
13,Buffalo,2084,5,Kentucky,96,0,96,2018
11,Loyola Chicago,2350,3,Tennessee,2633,1,2350,2018
7,Nevada,2440,2,Cincinnati,2132,1,2440,2018
9,Florida St,52,1,Xavier,2752,1,52,2018
5,Ohio State,194,4,Gonzaga,2250,0,2250,2018
6,Houston,248,3,Michigan,130,0,130,2018
7,Texas A&M,245,2,North Carolina,153,1,245,2018
9,Alabama,333,1,Villanova,222,0,222,2018
13,Marshall,276,5,West Virginia,277,0,277,2018
6,Florida,57,3,Texas Tech,2641,0,2641,2018
10,Butler,2086,2,Purdue,2509,0,2509,2018
8,Seton Hall,2550,1,Kansas,2305,0,2305,2018
5,Clemson,228,4,Auburn,2,1,228,2018
11,Syracuse,183,3,Michigan St,127,1,183,2018
7,Rhode Island,227,2,Duke,150,0,150,2018
9,Kansas St,2306,5,Kentucky,96,1,2306,2018
11,Loyola Chicago,2350,7,Nevada,2440,1,2350,2018
9,Florida St,52,4,Gonzaga,2250,1,52,2018
7,Texas A&M,245,3,Michigan,130,0,130,2018
5,West Virginia,277,1,Villanova,222,0,222,2018
3,Texas Tech,2641,2,Purdue,2509,1,2641,2018
5,Clemson,228,1,Kansas,2305,0,2305,2018
11,Syracuse,183,2,Duke,150,0,150,2018
11,Loyola Chicago,2350,9,Kansas St,2306,1,2350,2018
9,Florida St,52,3,Michigan,130,0,130,2018
3,Texas Tech,2641,1,Villanova,222,0,222,2018
2,Duke,150,1,Kansas,2305,0,2305,2018
11,Loyola Chicago,2350,3,Michigan,130,0,130,2018
1,Villanova,222,1,Kansas,2305,1,222,2018
3,Michigan,130,1,Villanova,222,0,222,2018
16,N Dakota St,2449,1,Duke,150,0,150,2019
9,UCF,2116,8,VCU,2670,1,2116,2019
12,Liberty,2335,5,Mississippi St,344,1,2335,2019
13,Saint Louis,139,4,Virginia Tech,259,0,259,2019
11,Belmont,2057,6,Maryland,120,0,120,2019
14,Yale,43,3,LSU,99,0,99,2019
