Seed1,Team1,Team1_id,Seed2,Team2,Team2_id,Winner,Winner_id,Year
4,Wichita St,2724,13,Marshall,276,0,276,2018
6,Florida,57,11,St Bonaventure,179,1,57,2018
3,Texas Tech,2641,14,SF Austin,2617,1,2641,2018
7,Arkansas,8,10,Butler,2086,0,2086,2018
2,Purdue,2509,15,Fullerton,2239,1,2509,2018
1,Kansas,2305,16,Penn,219,1,2305,2018
8,Seton Hall,2550,9,NC State,152,1,2550,2018
5,Clemson,228,12,New Mexico St,166,1,228,2018
4,Auburn,2,13,Charleston,232,1,2,2018
6,TCU,2628,11,Syracuse,183,0,183,2018
3,Michigan St,127,14,Bucknell,2083,1,127,2018
7,Rhode Island,227,10,Oklahoma,201,1,227,2018
2,Duke,150,15,Iona,314,1,150,2018
16,UMBC,2378,9,Kansas St,2306,0,2306,2018
5,Kentucky,96,13,Buffalo,2084,1,96,2018
11,Loyola Chicago,2350,3,Tennessee,2633,1,2350,2018
7,Nevada,2440,2,Cincinnati,2132,1,2440,2018
1,Xavier,2752,9,Florida St,52,0,52,2018
5,Ohio State,194,4,Gonzaga,2250,0,2250,2018
6,Houston,248,3,Michigan,130,0,130,2018
7,Texas A&M,245,2,North Carolina,153,1,245,2018
1,Villanova,222,9,Alabama,333,1,222,2018
5,West Virginia,277,13,Marshall,276,1,277,2018
6,Florida,57,3,Texas Tech,2641,0,2641,2018
10,Butler,2086,2,Purdue,2509,0,2509,2018
1,Kansas,2305,8,Seton Hall,2550,1,2305,2018
5,Clemson,228,4,Auburn,2,1,228,2018
11,Syracuse,183,3,Michigan St,127,1,183,2018
7,Rhode Island,227,2,Duke,150,0,150,2018
9,Kansas St,2306,5,Kentucky,96,1,2306,2018
11,Loyola Chicago,2350,7,Nevada,2440,1,2350,2018
9,Florida St,52,4,Gonzaga,2250,1,52,2018
3,Michigan,130,7,Texas A&M,245,1,130,2018
1,Villanova,222,5,West Virginia,277,1,222,2018
3,Texas Tech,2641,2,Purdue,2509,1,2641,2018
1,Kansas,2305,5,Clemson,228,1,2305,2018
11,Syracuse,183,2,Duke,150,0,150,2018
9,Kansas St,2306,11,Loyola Chicago,2350,0,2350,2018
9,Florida St,52,3,Michigan,130,0,130,2018
1,Villanova,222,3,Texas Tech,2641,1,222,2018
1,Kansas,2305,2,Duke,150,1,2305,2018
11,Loyola Chicago,2350,3,Michigan,130,0,130,2018
1,Villanova,222,1,Kansas,2305,1,222,2018
3,Michigan,130,1,Villanova,222,0,222,2018
1,Duke,150,16,N Dakota St,2449,1,150,2019
8,VCU,2670,9,UCF,2116,0,2116,2019
5,Mississippi St,344,12,Liberty,2335,0,2335,2019
4,Virginia Tech,259,13,Saint Louis,139,1,259,2019
6,Maryland,120,11,Belmont,2057,1,120,2019
3,LSU,99,14,Yale,43,1,99,2019
